journey_date,train_number,section_number,from_station,from_code,to_station,to_code,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,scheduled_running_time_min,actual_running_time_min,section_delay_min,departure_delay_min,arrival_delay_min,delay_change_min,recovery_min
2026-08-23,12705,13,Aler,ALER,Bhongir,BG,2026-08-23 20:55:00+05:30,2026-08-23 21:14:00+05:30,2026-08-23 21:03:00+05:30,2026-08-23 21:30:00+05:30,19.0,27.0,8.0,8.0,16.0,8.0,0.0
2026-08-23,12705,14,Bhongir,BG,Charlapalli,CHZ,2026-08-23 21:15:00+05:30,2026-08-23 21:44:00+05:30,2026-08-23 21:31:00+05:30,2026-08-23 22:12:00+05:30,29.0,41.0,12.0,16.0,28.0,12.0,0.0
2026-08-23,12705,15,Charlapalli,CHZ,Secunderabad Jn,SC,2026-08-23 21:45:00+05:30,2026-08-23 22:28:00+05:30,2026-08-23 22:14:00+05:30,2026-08-23 22:36:00+05:30,43.0,22.0,-21.0,29.0,8.0,-21.0,21.0
2026-08-24,12705,1,Guntur Jn,GNT,Mangalagiri,MAG,2026-08-24 15:35:00+05:30,2026-08-24 15:56:00+05:30,2026-08-24 15:35:00+05:30,2026-08-24 15:58:00+05:30,21.0,23.0,2.0,0.0,2.0,2.0,0.0
2026-08-24,12705,2,Mangalagiri,MAG,Vijayawada Jn,BZA,2026-08-24 15:57:00+05:30,2026-08-24 16:20:00+05:30,2026-08-24 15:59:00+05:30,2026-08-24 16:25:00+05:30,23.0,26.0,3.0,2.0,5.0,3.0,0.0
2026-08-24,12705,3,Vijayawada Jn,BZA,Madhira,MDR,2026-08-24 16:25:00+05:30,2026-08-24 17:14:00+05:30,2026-08-24 16:34:00+05:30,2026-08-24 17:27:00+05:30,49.0,53.0,4.0,9.0,13.0,4.0,0.0
2026-08-24,12705,4,Madhira,MDR,Khammam,KMT,2026-08-24 17:15:00+05:30,2026-08-24 17:49:00+05:30,2026-08-24 17:29:00+05:30,2026-08-24 18:09:00+05:30,34.0,40.0,6.0,14.0,20.0,6.0,0.0
2026-08-24,12705,5,Khammam,KMT,Dornakal Jn,DKJ,2026-08-24 17:50:00+05:30,2026-08-24 18:09:00+05:30,2026-08-24 18:11:00+05:30,2026-08-24 18:32:00+05:30,19.0,21.0,2.0,21.0,23.0,2.0,0.0
2026-08-24,12705,6,Dornakal Jn,DKJ,Mahbubabad,MABD,2026-08-24 18:10:00+05:30,2026-08-24 18:29:00+05:30,2026-08-24 18:33:00+05:30,2026-08-24 18:52:00+05:30,19.0,19.0,0.0,23.0,23.0,0.0,0.0
2026-08-24,12705,7,Mahbubabad,MABD,Nekonda,NKD,2026-08-24 18:30:00+05:30,2026-08-24 18:54:00+05:30,2026-08-24 18:54:00+05:30,2026-08-24 19:17:00+05:30,24.0,23.0,-1.0,24.0,23.0,-1.0,1.0
